,momentum_1y,momentum_6m,momentum_3m,momentum_15d
CPB,-0.4645689434638014,-0.3489891135303268,-0.25116279069767455,-0.18686868686868696
COF,0.00428158362989306,-0.18753936122357073,-0.2734915526950924,-0.03746535919846494
CAH,0.5484545318799461,0.393910881107602,-0.0005782575173483018,-0.046568289431342835
KMX,-0.4316393223956253,-0.06104010577346952,0.08588175331294523,0.011153298528713496
CCL,0.20987062769525444,-0.17022674991784548,-0.19174135723431518,-0.01941747572815511
CARR,-0.1839940164547511,-0.07006478008864636,0.021918321468714197,-0.06368005492619322
CTLT,0.0,0.0,0.0,0.0
CAT,1.0651721001203094,0.520327486390739,0.21121743021374817,0.037548649604906004
CBOE,0.34131185270426,0.19583059750492415,0.1387705654773541,-0.02986316875853101
CBRE,0.016623847665105496,-0.13778518328633693,-0.1828727604008501,-0.01457555116091691
CDW,-0.2765180975171998,-0.228369065849924,-0.12836961222430499,-0.01562881562881535
CE,0.039742939286318224,0.544723618090454,0.46206896551723986,0.2534148827726814
COR,0.17149499944643387,0.06416359369762059,-0.06701152127909782,-0.11183234940264675
CNC,-0.44808201058200925,-0.028238719068412577,-0.16256899147014503,-0.23405231757686962
CNP,0.1919932337186352,0.10593774522626154,0.10796645702306074,-0.02871582816448426
CF,0.7271658173265381,0.47555257870060275,0.7029116207163097,0.14342560553633188
CRL,0.04276586322515352,0.13394331315355013,-0.18814953455154382,-0.05400596877869579
SCHW,0.1666249999999998,-0.01405028523135543,-0.08058319377401246,-0.018715171906213635
CHTR,-0.4326510442404219,-0.19309018273285528,0.049961494031574905,-0.05828008979450883
CVX,0.23432657926102496,0.29062811565304014,0.3776772648663038,0.09194432728806423
CMG,-0.35734293717486976,-0.1818644931227711,-0.1500396930404866,-0.08982714650042523
CB,0.11731805701501785,0.1860674319024136,0.05212422994669419,0.006166056166056366
CHD,-0.12342308416494041,0.08633765021584483,0.08977059925093656,-0.07426923841718047
CI,-0.1540069251645516,-0.04267711532352081,-0.011949868842902611,-0.00047912136512739956
CINF,0.1370377964595706,0.07892859459108936,0.0028936580660718914,0.007143722000242381
CTAS,-0.17554751662103973,-0.1643129676428311,-0.1170157068062816,-0.17072331218960513
CSCO,0.33074056068708435,0.21228225568349557,0.05295550711629682,0.04544875875238685
C,0.46621991247264805,0.05128456560109762,-0.1169590643274857,0.007612781954887016
CFG,0.342161775232642,0.0649375236652785,-0.05778894472361695,-0.029000517866390463
CLX,-0.28531409762588456,-0.16748246043400172,0.040371087776531756,-0.10834425513324597
CME,0.19520469619577652,0.16791447834022466,0.1355570042010712,-0.010102604577742813
CMS,0.04280634573304187,0.07591364470156492,0.08881907753819829,-0.010382868267358791
KO,0.06692406692406516,0.1323417817574739,0.06540054262459005,-0.030661296609068578
CTSH,-0.21924858466289243,-0.0884782935256121,-0.2886283704572098,-0.08324520320290074
CL,-0.08617125448808427,0.05515075376884515,0.04712629347961528,-0.10094198244487285
CMCSA,-0.17939914163090165,-0.029769959404601365,0.03202590860021637,-0.09924623115577913
CAG,-0.4136064940085049,-0.15955678670360285,-0.10817166372722031,-0.20115850447604
COP,0.2911208151382816,0.37633185062584196,0.44950430330101265,0.13844442542996482
ED,0.03802423112767905,0.13410039710823685,0.12153861645352881,-0.004558048082938693
STZ,-0.18358801457392893,0.13314212393388236,0.07151523802726523,0.02631938747607321
CPRT,-0.40014550745725685,-0.26383928571428605,-0.15544174135723443,-0.1249668347041657
GLW,1.8710431272572725,0.7104164029869655,0.5079223387636691,0.09736094194072265
CPAY,-0.1319300409215758,0.061777914909664666,-0.005650624458214626,-0.012719158431622524
CTVA,0.3199233716475094,0.2334775473668509,0.2298081213743859,0.07586206896551695
CSGP,-0.4864831194717816,-0.5031340405014466,-0.3826568818331585,-0.14711359404096813
COST,0.05234035223700717,0.038003716485267125,0.12152084624033499,-0.019557891358420787
CTRA,0.24045801526717647,0.5116279069767462,0.3915920591669919,0.1532258064516132
CRWD,0.05542998600796456,-0.16945814894022582,-0.17620867811988095,-0.08408639813193253
CCI,-0.22868178666930838,-0.1700767263427112,-0.11298405466970418,-0.13735046521931793
CSX,0.32328308207705114,0.17175912192227916,0.07424530867555035,-0.009280160521695224
CMI,0.6122673176686004,0.27812855311222306,0.019548059666931072,-0.016511233968094507
CVS,0.05931445603576657,-0.046034089383975685,-0.1009359979762201,-0.0867274829757162
DHR,-0.10803864642330363,0.03501408295134345,-0.18950828179734514,-0.040399385560675904
DRI,-0.04468599033816367,0.059412836172719086,0.0417764197660937,-0.024420325604341597
DVA,0.03612544660579742,0.20341197264274213,0.3715186547556484,0.039909688558336986
DE,0.20190854706162265,0.24582671759000974,0.24497191131695195,-0.013590880519171677
DELL,0.8293089092422983,0.3429095354523235,0.3690606013397728,0.20038246141237526
DAL,0.39340842720066704,0.17917034421888878,-0.05729607677109749,0.13316369804919415
DVN,0.37032085561497174,0.435172220666477,0.4188815060908089,0.15427927927927887
DXCM,-0.08358789225215246,-0.03254177660510049,-0.019899019899019876,-0.029697147897676968
FANG,0.2396734794083344,0.38846497559634163,0.3769173086099926,0.12354675418590388
DLR,0.1702084869611893,0.020460657079388822,0.1264842540010338,-0.007392243830319112
DFS,0.20045763834527697,0.0,0.0,0.0
DG,0.40633120718167004,0.1595247370471382,-0.12002956393200293,-0.18530176543040933
DLTR,0.52941176470588,0.12730371790774475,-0.1328361878226667,-0.08476042207230583
D,0.1325884543761664,0.020983716635891048,0.03400204012240704,-0.03674374406081693
