,momentum_15d,momentum_3m,momentum_6m,momentum_1y,predicted_return_pct,current_price,predicted_price,mape,score
UAL,0.006959547629403984,-0.19183103508465704,-0.06455197494696518,0.1923770280710808,-6.95,92.6,86.16,3.29,0.44917394513630926
CTLT,0.0,0.0,0.0,0.0,-2.85,63.4,61.59,1.99,0.44896950978479194
MRNA,0.018875119161105847,0.6382587369711825,1.1750101750101747,0.7008274984086558,-14.71,53.44,45.58,5.01,0.4480895248339752
V,-0.01963139759112298,-0.1264225352112679,-0.07343890050791801,-0.09738634379184008,8.47,310.12,336.39,2.33,0.44791769229629597
ABNB,-0.012191450933172532,-0.03993563487419505,0.07970716459652927,0.021637608966375232,3.83,131.26,136.29,3.0,0.4476382971618495
MRO,0.0,0.0,0.0,0.0,-3.79,28.49,27.41,3.27,0.4471481573337283
BLK,-0.013348840620710511,-0.13458445532998264,-0.17746176221381704,-0.02601365328920302,3.93,941.65,978.67,5.91,0.44647692071684403
FTNT,-0.031235040689325255,-0.0023416317475963844,-0.025637939335579896,-0.19803843867644189,14.32,80.95,92.54,4.14,0.44566650288908355
DLR,-0.007392243830319112,0.1264842540010338,0.020460657079388822,0.1702084869611893,-0.87,174.56,173.04,2.76,0.4441507181746699
MCHP,-0.005119453924914974,-0.017315353968740288,-0.009422304603027953,0.23066589905968216,-2.6,64.13,62.46,2.85,0.4434597656619066
WEC,-0.0011251514626968717,0.09465996395712728,0.03935518731988363,0.09155395819540346,-5.03,115.41,109.61,1.57,0.44342813117950064
AMAT,0.04314838232119156,0.30004612546125475,0.6963587120072212,1.2467118373854063,-31.84,338.22,230.54,3.9,0.443318792983844
DD,0.02131912058627594,0.11952288218111096,0.4764044943820236,0.4398872886662495,-19.0,45.99,37.25,4.1,0.44263875744192915
INVH,-0.05164498852333621,-0.09194139194139195,-0.14072790294627335,-0.27747012532789117,24.81,24.79,30.94,4.55,0.4420948992551376
CINF,0.007143722000242381,0.0028936580660718914,0.07892859459108936,0.1370377964595706,-10.75,166.36,148.47,1.92,0.44202667274843177
HLT,0.01157275021026094,0.027332672793741075,0.15202482663499417,0.2815496739547376,-13.46,300.69,260.21,1.85,0.44196150925579436
KMI,0.014912019087384376,0.25248435774751643,0.22015059160989692,0.19697502638058495,-15.78,34.03,28.66,1.46,0.44137606137188246
CB,0.006166056166056366,0.05212422994669419,0.1860674319024136,0.11731805701501785,-10.58,329.62,294.73,3.25,0.441211359791025
BK,0.000781725006514522,-0.022482395859846127,0.057646410868367415,0.3560080028245274,-7.65,115.22,106.41,3.75,0.44058427450668236
LRCX,0.06221105527638171,0.19545300305395275,0.6524390243902438,1.7747440273037554,-44.83,211.38,116.61,6.32,0.440468908469748
MOH,-0.03889890445153199,-0.1503095690553542,-0.2665749510556119,-0.5706275943250103,15.97,138.61,160.74,4.34,0.43989027232459055
DOV,0.0032679738562091387,0.046835823889279427,0.26261037861376657,0.14804223493180735,-9.52,208.76,188.89,2.37,0.4398719865470888
SCHW,-0.018715171906213635,-0.08058319377401246,-0.01405028523135543,0.1666249999999998,3.64,93.33,96.73,3.92,0.43963180975426935
DFS,0.0,0.0,0.0,0.20045763834527697,-7.94,199.36,183.54,5.84,0.43910708002318155
EA,0.021836052284932128,-0.013354857646022955,0.20039281037971657,0.3905819084390505,-21.41,201.69,158.5,0.68,0.43857437266132926
BRK.B,-0.013263504294084627,-0.016578673706103553,-0.005681818181817455,-0.07671654681661899,-0.26,491.75,490.46,2.4,0.43845825564716256
WAB,0.008387813001110134,0.11935189411227776,0.2627432808155705,0.31086642792238894,-13.51,245.25,212.11,4.02,0.43813552408288925
ED,-0.004558048082938693,0.12153861645352881,0.13410039710823685,0.03802423112767905,-5.93,111.38,104.78,2.3,0.43766485345389017
CARR,-0.06368005492619322,0.021918321468714197,-0.07006478008864636,-0.1839940164547511,29.75,54.55,70.78,3.51,0.43757535084679344
MSI,-0.02024273854400449,0.19534240748617537,-0.012648221343873223,0.044775425796408364,3.37,449.64,464.78,2.87,0.43732009386072707
NEE,0.0017603696776320454,0.13571161282275135,0.22116416309012887,0.3072505384063171,-10.01,91.05,81.94,2.23,0.43715736985258175
